Genre,budget,vote_average,release_month,revenue,runtime
 'Documentary',0,9.5,11,0,300
 'Romance',0,8.8,11,0,300
 'Documentary',0,7.1,1,0,300
 'Drama',0,5.9,5,0,300
 'Romance',0,7,11,0,300
 'Adventure',0,7,12,0,300
 'Drama',0,3,11,0,300
 'Adventure',0,5,6,0,300
 'Comedy',0,6.5,9,0,300
 'Documentary',0,5,1,0,300
 'Drama',0,0,10,0,300
,0,0,1,0,300
 'Action',0,0,12,0,299
 'Drama',0,6.6,12,0,298
 'Documentary',0,8.2,10,0,294
 'Action',20000000,6.7,12,0,292
 'Documentary',0,8.1,1,0,292
,0,8.4,11,0,291
 'Adventure',0,7.4,12,0,290
 'Adventure',0,6.5,6,0,290
 'Documentary',0,8.8,9,0,289
 'Documentary',0,9.5,7,0,288
 'Thriller',23000000,6.3,9,0,287
 'Adventure',0,0,12,0,287
 'Horror',0,6.7,11,0,286
 'War',0,8,1,0,285
 'Drama',150000,8.3,4,0,283
 'Drama',0,6.3,12,0,282
 'Drama',0,7,2,0,281
 'War',0,5,6,0,277
 'War',0,6.3,6,0,275
 'Horror',0,8,11,0,273
 'Drama',0,7,2,0,273
 'Science Fiction',0,7.3,5,0,272
 'Mystery',2500000,6.9,10,0,272
 'Western',0,6.3,5,0,272
 'Documentary',0,0,11,0,271
 'Action',0,7.8,12,0,270
 'Action',12000000,8.2,3,0,270
 'Adventure',0,6.6,4,0,270
 'Crime',0,7.6,4,0,270
,0,8,1,0,270
 'Drama',0,7.3,1,0,270
 'Drama',0,5.6,5,0,270
 'Adventure',0,5,1,0,270
,0,10,11,0,270
 'Documentary',0,8,5,0,270
 'Adventure',0,0,2,0,270
 'Comedy',0,6.4,6,0,268
 'War',0,6.5,11,0,267
 'Drama',0,6.8,1,0,265
 'Drama',0,6.3,11,0,265
 'Thriller',0,7,1,0,264
 'Western',0,0,2,0,264
 'Documentary',13000000,8.6,9,0,263
 'Action',0,6.2,5,0,263
 'Action',0,7,7,0,260
 'Drama',0,3.6,8,0,260
 'Documentary',0,3.6,9,0,260
 'Romance',0,8,11,0,260
,0,0,1,0,258
 'Documentary',2000000,7,8,0,255
 'Drama',0,8.3,4,0,255
 'Documentary',0,10,8,0,255
 'History',0,5,12,0,255
 'Drama',0,6.6,1,0,254
 'War',0,6.6,10,25000000,254
 'Drama',0,7,7,0,252
 'Romance',0,9,1,0,252
 'Action',0,3.8,7,0,252
 'Documentary',0,7.3,9,0,251
 'Action',0,5.8,5,0,250
 'Crime',0,7.1,9,0,250
 'War',0,8.1,11,0,250
 'Drama',31115000,6.7,6,71000000,248
 'Drama',20000000,6.8,3,0,248
 'Drama',0,6.5,8,0,248
 'Drama',0,5,10,0,247
 'Thriller',0,6.6,12,0,246
 'Documentary',0,7.2,9,0,246
 'Action',0,6.6,10,0,245
 'Mystery',0,8,5,0,245
 'Documentary',0,7.2,11,0,244
 'Action',0,5.8,2,0,244
 'Action',0,4,7,0,244
 'Drama',0,7.3,12,0,242
 'Drama',0,6.9,12,0,241
 'Documentary',0,8.6,2,0,240
 'Fantasy',0,6.3,12,0,240
 'Romance',0,7.6,10,0,240
 'Documentary',0,8.2,5,0,240
 'Drama',0,4.9,11,0,240
 'Drama',0,7.2,9,0,240
 'Fantasy',0,5,4,0,240
 'Documentary',0,7.1,4,0,240
 'Drama',0,5.7,5,0,240
 'War',0,5.3,12,0,240
 'Comedy',0,6.6,1,0,240
 'Drama',0,6.5,1,0,240
 'History',20000000,5.4,12,0,240
 'Documentary',0,8.1,6,0,240
 'Crime',0,4.6,11,0,240
 'Drama',0,6.3,6,0,240
 'Western',0,5.9,5,0,240
,0,6.8,1,0,240
 'Drama',0,4.1,7,0,240
 'Documentary',0,8.6,2,0,240
 'Documentary',0,8.3,11,0,240
,0,5,12,0,240
 'TV Movie',8000000,3.5,2,0,240
 'Drama',0,3,4,0,240
 'Documentary',0,6.5,11,0,240
,0,0,1,0,240
 'TV Movie',0,0,4,0,240
 'Documentary',0,0,10,0,240
,0,0,2,0,240
 'Comedy',0,6.9,11,0,239
 'Drama',0,5.1,11,0,239
 'Documentary',0,7.8,10,0,239
 'Drama',0,6.2,10,0,239
 'Drama',4000000,7.7,12,400176459,238
 'Action',0,8.1,11,0,237
 'Crime',0,8.4,7,0,237
 'Science Fiction',0,7,4,0,237
 'Documentary',0,7,9,0,237
 'Drama',0,9,5,0,237
 'Drama',0,7.4,9,0,236
 'Documentary',0,6.8,8,0,236
 'Romance',0,8.4,1,0,236
 'Documentary',0,8.3,3,0,235
 'Drama',0,7.5,12,0,235
 'War',0,7.3,4,0,235
,0,7,5,0,235
 'Music',0,10,1,0,235
,0,0,1,0,235
 'War',0,5,9,0,234
 'Drama',0,7.6,11,0,233
 'Drama',0,5.5,12,0,232
 'Drama',0,8,5,0,230
 'Drama',30000000,8.3,2,0,229
 'Adventure',0,4.3,3,0,229
 'Documentary',0,6.8,9,0,227
 'History',600000,7.1,3,34505110,225
 'Documentary',0,8.3,5,0,225
 'Drama',0,8.3,10,0,225
 'Drama',0,6.9,12,0,225
 'Action',0,6,4,0,225
,0,0,4,0,225
 'Adventure',5200000,7.2,6,8100000,224
 'Comedy',0,7.5,12,0,224
 'Drama',0,10,12,0,224
 'Action',0,4,8,0,224
 'Documentary',0,0,10,0,224
 'Drama',0,7.1,9,0,223
 'Comedy',0,7,10,0,223
 'Drama',0,6.8,1,0,223
 'Action',0,8,5,0,222
 'Drama',0,6.9,11,0,221
 'Drama',13000000,7.5,10,122700000,220
 'Science Fiction',0,5.1,4,0,220
 'Adventure',0,8.6,12,0,220
 'Action',0,0,6,0,220
 'Comedy',0,0,9,0,220
 'Action',44000000,6.5,11,3484331,219
 'Drama',0,8,5,0,217
 'Drama',0,6.6,5,0,217
 'Adventure',15000000,7.8,12,69995385,216
 'Drama',0,6.9,10,0,216
 'Drama',0,5.7,1,0,216
 'Fantasy',0,7,3,0,216
 'Drama',0,7.8,10,0,215
 'Family',0,4.6,1,0,215
 'Drama',56000000,6.1,2,12923936,214
 'Documentary',0,8.2,12,0,214
 'Action',8376800,7.6,2,13000000,213
 'Crime',0,7.2,10,0,213
 'Music',0,7.2,7,0,213
 'Romance',0,4.4,11,0,213
 'Action',15000000,7.5,12,146900000,212
 'Documentary',0,5.9,1,0,212
 'Action',0,6.5,7,0,211
 'Comedy',0,7.6,12,0,210
 'Drama',5000000,7.3,12,0,210
 'TV Movie',0,7.1,9,0,210
 'Adventure',0,6.2,4,0,210
 'Science Fiction',0,6.8,1,0,210
 'Drama',0,6.5,3,0,210
 'Documentary',0,6.4,5,0,210
,3000,6.6,9,0,210
 'Drama',0,4,5,0,210
 'Action',0,3,4,0,210
 'Adventure',0,8,3,0,210
 'Action',0,7.8,4,0,210
 'Adventure',0,5.5,1,0,210
 'TV Movie',0,0,9,0,210
,0,6.6,10,0,209
 'Music',0,0,10,0,209
 'Drama',6000000,6.8,8,12500000,208
 'War',0,8.5,1,0,208
 'Action',4000000,6.9,3,21750000,208
 'Music',0,7.8,10,0,208
 'Documentary',2000000,7.5,7,0,208
 'Romance',0,6.9,2,0,208
 'Drama',0,6.8,2,0,208
 'Mystery',0,2,3,0,208
 'Action',2000000,8.2,4,271841,207
 'History',0,7.1,11,0,207
 'Comedy',2000000,6.8,12,393816,207
 'Crime',0,7.1,12,0,207
 'Drama',0,5.5,6,0,207
 'Documentary',0,8,12,0,207
 'Drama',0,6.1,8,26900000,206
 'Crime',0,7.5,4,0,206
 'Adventure',0,6.5,1,0,206
 'Drama',0,8,12,0,205
 'Adventure',0,7,12,0,205
 'Action',0,6.9,8,0,204
 'Drama',0,6.9,1,0,204
 'Music',0,8.3,6,0,204
,0,9.5,10,0,204
 'Drama',0,4,4,0,204
 'Drama',0,7.2,12,0,203
 'Drama',0,7,9,0,203
 'Drama',34000000,7.3,11,48169908,202
 'Drama',0,8.3,9,0,202
 'Adventure',94000000,8.1,12,1118888979,201
 'Action',5400000,7.5,10,35000000,201
 'Documentary',0,6.9,1,0,201
 'Drama',0,7.3,5,0,201
 'Drama',0,7.1,2,0,201
 'War',0,5,6,0,201
 'Drama',13000000,8.3,12,47542841,200
 'Adventure',0,6,12,0,200
 'Action',0,7.7,11,0,200
 'Mystery',0,7.9,9,0,200
 'Drama',0,5.9,8,0,200
 'Thriller',0,3.4,9,0,200
 'Drama',0,6,2,0,200
 'Music',0,8.8,10,0,200
 'Adventure',0,4.4,11,0,200
 'Drama',0,7,9,0,200
 'History',0,3,3,0,200
 'Documentary',0,8.5,6,0,200
,0,5,10,0,200
 'Drama',0,8.2,12,0,199
 'Drama',20000000,6.5,2,15473333,199
 'Drama',3900000,6.7,2,4900000,199
 'Drama',0,7.2,11,0,198
 'Drama',0,6.4,12,0,198
 'TV Movie',0,7.3,1,0,198
 'Adventure',0,7.6,3,0,198
 'Documentary',0,5.5,8,0,198
 'Drama',0,6,11,0,198
,0,0,7,0,198
 'Action',12000000,7.3,10,60000000,197
 'Drama',11000000,7.4,12,111858363,197
 'Drama',8394751,7.4,9,0,197
 'Drama',0,6.9,5,0,197
 'Drama',0,6.4,5,0,197
 'Drama',0,4.4,6,0,197
 'Drama',0,8.5,9,0,197
 'Drama',0,7.6,6,0,196
 'Drama',0,5.3,1,0,196
 'Drama',0,6.3,12,0,196
 'War',0,4,1,0,196
 'Drama',22000000,8.3,11,321365567,195
 'Drama',32000000,7.1,12,40382659,195
 'Drama',0,7.6,12,0,195
 'Drama',0,6.1,5,0,195
 'Drama',0,8,1,0,195
 'War',0,8.3,3,0,195
 'Crime',0,7.2,4,0,195
 'Western',0,4.5,1,0,195
,0,5,10,0,195
 'Drama',200000000,7.5,11,1845034188,194
 'Drama',0,7.5,3,0,194
 'Romance',0,7.5,2,0,194
 'Drama',27000000,7.4,10,21500000,193
 'Drama',100000,6.4,2,11000000,193
 'Drama',7400000,6.1,8,17000000,193
 'Mystery',0,7.5,9,0,193
 'Drama',0,6.8,7,0,193
 'Drama',0,6.1,4,0,193
 'Drama',0,4.9,1,0,193
 'Drama',6153120,6.8,12,0,193
 'Thriller',0,5.3,4,0,193
 'History',44000000,7.1,12,13681765,192
 'Drama',7000000,7.5,11,29385320,192
 'Documentary',0,7.5,11,0,192
 'Drama',0,7,10,0,192
 'Comedy',0,5.8,1,0,192
 'Action',0,6.9,6,0,192
 'Drama',0,4.5,4,0,192
 'Drama',22000000,7.4,11,77737889,191
 'Drama',63000000,6.5,6,25052000,191
 'Drama',0,7.9,3,0,191
 'Comedy',0,6.4,3,0,191
 'War',0,8.4,1,0,191
 'Adventure',0,6.8,3,0,191
 'Drama',0,6.3,1,0,191
 'Drama',1000000,4,10,0,191
,0,6,9,0,191
,0,0,9,0,191
 'Comedy',13200000,9.1,10,100000000,190
 'Drama',15000000,8.2,3,0,190
 'Crime',0,6,2,0,190
 'Drama',2391200,6.1,8,0,190
 'Action',0,7.3,5,0,190
 'Documentary',0,8.5,9,0,190
 'TV Movie',0,0,11,0,190
 'Fantasy',60000000,8.2,12,284600000,189
 'Drama',40000000,7.5,12,205405498,189
 'Romance',0,7,11,0,189
 'Drama',4414000,7.2,12,0,189
 'Drama',15000000,5.8,10,34562222,189
 'Drama',36000000,5.8,12,1345903,189
 'Drama',0,6.4,1,0,189
 'Adventure',0,7,11,0,189
 'Action',0,4.5,2,0,189
 'Drama',37000000,7.5,12,48451803,188
 'Fantasy',0,7.3,12,4971340,188
 'War',19000000,6,3,4750000,188
 'Drama',0,6.5,6,0,188
 'Drama',0,7.4,6,0,188
 'Action',0,5.1,10,0,188
 'Mystery',0,7.7,11,0,188
 'History',0,0,1,0,188
 'Adventure',207000000,6.6,12,550000000,187
 'Comedy',0,6.9,9,6110979,187
 'Action',0,6.5,9,0,187
 'Family',14000000,6.3,12,0,187
 'TV Movie',0,5.3,5,0,187
 'Drama',3000000,7.6,12,10000000,186
 'Comedy',0,7.3,11,13200241,186
 'History',4600000,7.3,7,25000000,186
 'Adventure',28000000,6.9,2,0,186
 'Drama',0,7.1,9,0,186
 'Action',483719,6.7,6,0,186
 'Documentary',0,7.5,1,0,186
 'Drama',0,4.8,12,0,186
 'Drama',0,3.5,10,0,186
 'Drama',0,7.8,3,0,185
 'Drama',1530000,7.5,10,15306000,185
 'Drama',12500000,7.4,7,0,185
 'Drama',0,8.1,4,0,185
 'Drama',9364800,6.9,12,0,185
 'Action',12000000,6.9,6,19000000,185
 'Drama',0,7.3,12,0,185
 'Drama',7,7.1,2,0,185
 'Drama',0,5.1,8,0,185
 'Drama',0,6,10,0,185
 'Documentary',0,6,2,0,185
 'Documentary',0,10,3,0,185
 'Documentary',0,10,10,0,185
,0,5,9,0,185
 'Comedy',0,0,2,0,185
 'Science Fiction',0,0,5,0,185
 'Drama',11000000,7.7,12,20000000,184
 'Mystery',4000000,6.2,11,0,184
,0,6.9,1,0,184
 'Action',23000000,6.4,11,0,184
 'Drama',0,7.2,12,0,184
 'Crime',0,6.6,4,0,184
 'Action',0,6.9,1,0,184
 'Drama',0,7.4,5,0,184
,0,8.3,1,0,184
 'History',140000000,6.6,5,449220945,183
 'Drama',15000000,7.8,12,50000000,183
 'Thriller',9100000,6.9,12,76000000,183
 'Drama',2079000,7.1,7,4099000,183
 'Drama',0,7.5,12,0,183
 'Drama',20000000,6.4,7,0,183
 'Drama',0,6,1,1100000,183
 'Music',0,6.8,3,0,183
 'Drama',0,7.7,9,0,183
 'Crime',0,7.5,1,0,183
 'Drama',0,7,8,0,183
,0,7.5,4,0,183
 'Adventure',0,6.8,1,0,183
 'Drama',0,7,3,0,183
 'Drama',0,7,3,0,183
,0,7,1,0,183
 'Action',0,7.5,1,0,182
 'Action',12000000,7.2,12,20000000,182
 'Fantasy',0,7,5,0,182
 'Action',0,6.8,10,0,182
 'Drama',17,7.4,9,0,182
 'Adventure',0,6,4,0,182
 'Comedy',0,7.4,2,0,182
 'Horror',0,6.6,10,0,182
 'Adventure',0,6,12,0,182
 'Drama',0,6,5,0,182
 'Drama',0,6.8,5,0,182
 'Drama',0,8,11,0,182
 'Drama',0,4.8,7,0,182
 'Adventure',22000000,7.6,11,424208848,181
 'Drama',9000000,7.4,11,83304330,181
 'Horror',12,5.1,5,0,181
 'Drama',5019770,7.1,9,0,181
 'Horror',0,5.5,6,0,181
 'War',0,8.5,11,0,181
 'Crime',0,6.8,11,0,181
 'Drama',0,6.1,9,0,181
 'Drama',0,7.8,12,0,181
 'Action',0,6.9,6,8500000,181
 'Crime',0,7.4,7,14000000,181
 'Drama',0,5.8,3,0,181
 'Romance',0,5.5,8,0,181
 'Comedy',0,0,1,0,181
 'Crime',100000000,7.9,12,392000694,180
 'Horror',0,7.1,9,849055,180
 'Drama',0,6,5,0,180
 'Action',0,7.7,4,0,180
 'Action',35000000,7.7,2,0,180
 'TV Movie',0,7.4,1,0,180
 'Adventure',0,6,12,0,180
 'Drama',3000000,7.3,3,0,180
 'Romance',0,6.3,5,0,180
 'Action',25000000,5.9,10,0,180
 'Adventure',0,5.8,1,0,180
 'Comedy',35000000,7.2,10,0,180
 'Drama',0,6.9,12,0,180
