Genre,budget,vote_average,revenue,runtime
'Action',160000000,6.4,1156730962,91
'Drama',185000000,7.2,820580447,141
'Action',237000000,6.8,1262886337,129
'Science Fiction',220000000,7.2,224511319,113
'Action',58000000,7.8,652105443,102
'Adventure',165000000,7.4,783112979,108
'Drama',100000000,7.6,863416141,137
'Action',170000000,7.2,2787965087,162
'Drama',63000000,7,88761661,101
'Science Fiction',75000000,7.9,369330363,145
'Action',150000000,6.6,752100229,123
'Action',250000000,6.7,369907963,140
'Action',63000000,7.1,1153304495,147
'Action',140000000,8.3,213928762,154
'Action',200000000,6.6,794191988,129
'Adventure',93000000,8.3,1004558444,152
'Action',150000000,7.9,33139618,117
'Thriller',8000000,7.4,1519557910,143
'Adventure',250000000,7,348319861,113
'Drama',25000000,7.3,710644566,130
'Adventure',94000000,5.7,232380243,122
'Comedy',55000000,5.9,169801921,107
'Action',245000000,8.3,13092000,105
'Drama',200000000,8.3,100853753,139
'Action',200000000,7.6,616801808,137
'Action',175000000,7.9,773328629,121
'Adventure',79000000,8.5,28341469,142
'Action',150000000,6.7,171539887,122
'Adventure',250000000,6.8,1238764765,136
'Drama',108000000,8.2,677945399,142
'Adventure',140000000,7.5,655011224,143
'Action',250000000,5.5,356743061,109
'Adventure',125000000,6.5,146175066,126
'Action',140000000,7.1,677718395,115
'Animation',175000000,5.9,745600054,123
'Adventure',200000000,8.1,775398007,121
'Action',280000000,6.2,217022588,115
'Adventure',11000000,8.3,321365567,195
'Crime',100000000,7,482860185,105
'Drama',175000000,6.5,311256926,132
'Action',215000000,8.5,245066411,175
'Adventure',150000000,7.2,809342332,133
'Adventure',130000000,8.3,274925095,125
'Drama',70000000,6.7,334901337,129
'Animation',69000000,8.3,229400000,116
'Drama',80000000,6.2,604942143,149
'Western',135000000,7.5,976475550,152
'Action',225000000,7.3,1405403694,141
'Animation',180000000,7.2,252434250,104
'Comedy',35000000,8.3,32000000,109
'Action',97000000,7.4,211817906,135
'Animation',94000000,6.2,1020063384,96
'Adventure',165000000,8.3,47542841,200
'Adventure',19000000,7.4,1056057273,133
'Action',250000000,6.3,126546825,89
'Animation',115000000,6.3,100541806,103
'Family',125000000,6.5,296485719,127
'Crime',81000000,6.1,177856751,116
'Action',40000000,8.3,108981275,133
'Adventure',130000000,6.8,644571402,112
'Science Fiction',130000000,7.6,207945075,110
'Drama',6000000,5.9,698491347,124
'Mystery',61000000,6.7,407602906,131
'Adventure',18000000,5.4,407778013,110
'Adventure',100000000,7.3,173567581,133
'Crime',33000000,7.9,463517383,136
'Adventure',120000000,5.2,571006128,125
'History',14000000,6.5,1513528810,124
'Action',90000000,8.1,675120017,169
'Action',170000000,8,871368364,178
'Action',165000000,7.6,370541256,113
'Science Fiction',105000000,7.1,956019788,144
'Science Fiction',125000000,7.5,2068223624,136
'Adventure',150000000,8,233555708,113
'Thriller',47000000,5.7,873260194,151
'Adventure',250000000,6.9,961000000,169
'Action',200000000,5.8,392616625,122
'Thriller',75000000,6.5,752215857,136
'Adventure',150000000,7.5,519876949,107
'Adventure',180000000,7.2,203388186,113
'Action',103000000,7.9,187000000,134
'Action',34000000,6.6,104399548,120
'Family',160000000,5.8,440603537,126
'Family',45000000,5.6,709827462,130
'Action',20000000,7.4,876688482,161
'Animation',150000000,7,1065659812,151
'Adventure',250000000,6.2,566652812,118
'Animation',30000000,8,926287400,179
'Drama',13000000,6.8,821708551,121
'Fantasy',139000000,7.3,378858340,120
'Adventure',200000000,8.1,1118888979,201
